Time;time_err;0.3-1.5keV;0.3-1.5keV_err;1.5-10keV;1.5-10keV_err;HR;HR_err
2287.59;0.0706944;0.094452;0.007342;0.015703;0.003011;0.166251;0.034401
2291.34;0.169178;0.157264;0.010393;0.024009;0.004254;0.152668;0.028869
2292.08;0.433403;0.104382;0.009079;0.009656;0.002804;0.092508;0.028046
2293.01;0.242859;0.195584;0.015051;0.020040;0.004910;0.102462;0.026314
2297.67;0.0367014;0.057294;0.007129;0.008348;0.002742;0.145707;0.051178
2298.76;0.0700463;0.114828;0.011220;0.010100;0.003421;0.087958;0.031004
2300.37;0.00255787;0.061520;0.015751;0.003134;0.003736;0.050936;0.062114
2301.95;0.345845;0.120237;0.008695;0.008074;0.002325;0.067152;0.019934
2303.22;0.0737616;0.310580;0.018355;0.043757;0.006964;0.140888;0.023920
2304.53;0.0728241;0.127225;0.009927;0.015129;0.003366;0.118915;0.028035
2304.97;0.113067;0.093144;0.007710;0.013781;0.003021;0.147954;0.034666
2306.37;0.0269213;0.152090;0.013299;0.019424;0.004716;0.127714;0.032961
2312.7;0.0127315;0.195891;0.032914;0.021354;0.010942;0.109009;0.058783
2317.17;0.343681;0.192988;0.010986;0.035224;0.004739;0.182520;0.026663
2318.46;0.0398495;0.076109;0.008186;0.005644;0.002280;0.074163;0.031000
2318.92;0.0354977;0.126494;0.008829;0.017446;0.003328;0.137918;0.028017
2320.98;0.0392361;0.342696;0.018039;0.050212;0.007013;0.146520;0.021870
2322.25;0.229664;0.262900;0.015382;0.066016;0.008024;0.251108;0.033873
2323.01;0.00438657;0.141099;0.015142;0.025310;0.006455;0.179376;0.049630
2324.21;0.00934028;0.316542;0.020702;0.049463;0.008307;0.156261;0.028163
2324.58;0.0384838;0.396710;0.020667;0.053763;0.007709;0.135522;0.020676
2328.56;0.0385069;0.042624;0.005208;0.005472;0.001858;0.128371;0.046320
